Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Marcia Fudge ,Rep,18-Nov-08,RepMarciaFudge,RepMarciaFudge,RepMarciaFudge,RepMarciaFudge,OH-11
Troy Balderson ,Rep,5-Sep-18,RepBalderson,RepBalderson,RepBalderson,RepBalderson,OH-12
Tim Ryan ,Rep,3-Jan-03,RepTimRyan,RepTimRyan,RepTimRyan,RepTimRyan,OH-13
David Joyce ,Rep,3-Jan-13,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,OH-14
Steve Stivers ,Rep,3-Jan-11,RepSteveStivers,RepSteveStivers,RepSteveStivers,RepSteveStivers,OH-15
Anthony Gonzalez ,Rep,3-Jan-19,RepAGonzalez,RepAGonzalez,RepAGonzalez,RepAGonzalez,OH-16
Brad Wenstrup ,Rep,3-Jan-13,RepBradWenstrup,RepBradWenstrup,RepBradWenstrup,RepBradWenstrup,OH-2
Joyce Beatty ,Rep,3-Jan-13,RepBeatty,RepBeatty,RepBeatty,RepBeatty,OH-3
Jim Jordan ,Rep,3-Jan-07,Jim_Jordan,Jim_Jordan,Jim_Jordan,Jim_Jordan,OH-4
Bob Latta ,Rep,11-Dec-07,boblatta,boblatta,boblatta,boblatta,OH-5
Bill Johnson ,Rep,3-Jan-11,RepBillJohnson,RepBillJohnson,RepBillJohnson,RepBillJohnson,OH-6
Bob Gibbs ,Rep,3-Jan-13,RepBobGibbs,RepBobGibbs,RepBobGibbs,RepBobGibbs,OH-7
Warren Davidson ,Rep,7-Jun-16,WarrenDavidson,WarrenDavidson,WarrenDavidson,WarrenDavidson,OH-8
Marcy Kaptur ,Rep,3-Jan-83,RepMarcyKaptur,RepMarcyKaptur,RepMarcyKaptur,RepMarcyKaptur,OH-9
Mario Diaz-Balart ,Rep,3-Jan-03,MarioDB,MarioDB,MarioDB,MarioDB,OH-9
Kevin Hern ,Rep,13-Nov-18,repkevinhern,repkevinhern,repkevinhern,repkevinhern,OK-1
Markwayne Mullin ,Rep,3-Jan-13,RepMullin,RepMullin,RepMullin,RepMullin,OK-2
Frank Lucas ,Rep,10-May-94,RepFrankLucas,RepFrankLucas,RepFrankLucas,RepFrankLucas,OK-3
Tom Cole ,Rep,3-Jan-03,TomColeOK04,TomColeOK04,TomColeOK04,TomColeOK04,OK-4
Kendra Horn ,Rep,3-Jan-19,RepKendraHorn,RepKendraHorn,RepKendraHorn,RepKendraHorn,OK-5
Suzanne Bonamici ,Rep,31-Jan-12,RepBonamici,RepBonamici,RepBonamici,RepBonamici,OR-1
Greg Walden ,Rep,3-Jan-99,RepGregWalden,RepGregWalden,RepGregWalden,RepGregWalden,OR-2
Earl Blumenauer ,Rep,21-May-96,repblumenauer,repblumenauer,BlumenauerMedia,BlumenauerMedia,OR-3
Peter DeFazio ,Rep,3-Jan-87,RepPeterDeFazio,RepPeterDeFazio,RepPeterDeFazio,RepPeterDeFazio,OR-4
Kurt Schrader ,Rep,3-Jan-09,RepSchrader,RepSchrader,RepSchrader,RepSchrader,OR-5
Brian Fitzpatrick ,Rep,3-Jan-17,repbrianfitz,repbrianfitz,repbrianfitz,repbrianfitz,PA-1
Scott Perry ,Rep,3-Jan-13,RepScottPerry,RepScottPerry,RepScottPerry,RepScottPerry,PA-10
Lloyd Smucker ,Rep,3-Jan-17,RepSmucker,RepSmucker,RepSmucker,RepSmucker,PA-11
John Joyce ,Rep,3-Jan-19,RepJohnJoyce,RepJohnJoyce,RepJohnJoyce,RepJohnJoyce,PA-13
Guy Reschenthaler ,Rep,3-Jan-19,GReschenthaler,GReschenthaler,GReschenthaler,GReschenthaler,PA-14
Glenn Thompson ,Rep,3-Jan-09,CongressmanGT,CongressmanGT,CongressmanGT,CongressmanGT,PA-15
Mike Kelly ,Rep,3-Jan-11,MikeKellyPA,MikeKellyPA,MikeKellyPA,MikeKellyPA,PA-16
Conor Lamb ,Rep,12-Apr-18,RepConorLamb,RepConorLamb,RepConorLamb,RepConorLamb,PA-17
Michael F. Doyle,Rep,3-Jan-95,USRepMikeDoyle,USRepMikeDoyle,USRepMikeDoyle,USRepMikeDoyle,PA-18
Brendan Boyle ,Rep,3-Jan-15,CongBoyle,CongBoyle,CongBoyle,CongBoyle,PA-2
Dwight Evans ,Rep,14-Nov-16,RepDwightEvans,RepDwightEvans,RepDwightEvans,RepDwightEvans,PA-3
Madeleine Dean ,Rep,3-Jan-19,RepDean,RepDean,RepDean,RepDean,PA-4
Mary Gay Scanlon,Rep,13-Nov-18,RepMGS,RepMGS,RepMGS,RepMGS,PA-5
Chrissy Houlahan ,Rep,3-Jan-19,RepHoulahan,RepHoulahan,RepHoulahan,RepHoulahan,PA-6
Susan Wild ,Rep,27-Nov-18,RepSusanWild,RepSusanWild,RepSusanWild,RepSusanWild,PA-7
Matt Cartwright ,Rep,3-Jan-13,RepCartwright,RepCartwright,RepCartwright,RepCartwright,PA-8
Dan Meuser ,Rep,3-Jan-19,RepMeuser,RepMeuser,RepMeuser,RepMeuser,PA-9
Jenniffer González ,Rep,3-Jan-17,RepJenniffer,RepJenniffer,RepJenniffer,RepJenniffer,PR-0
David Cicilline ,Rep,3-Jan-11,RepCicilline,RepCicilline,RepCicilline,RepCicilline,RI-1
James Langevin ,Rep,3-Jan-01,JimLangevin,JimLangevin,JimLangevin,JimLangevin,RI-2
Joe Cunningham ,Rep,3-Jan-19,RepCunningham,RepCunningham,RepCunningham,RepCunningham,SC-1
